LATITUD,LONGITUD,DISTRITO
40.39982891410407,-3.621281890570377,VICALVARO
40.394522745106734,-3.7000855961559855,ARGANZUELA
40.41878362561595,-3.6866519471003647,RETIRO
40.39241374953321,-3.697247685884226,ARGANZUELA
40.40159394334669,-3.749110841406562,LATINA
40.419011767401095,-3.692206111679657,RETIRO
40.39241374953321,-3.697247685884226,ARGANZUELA
40.426642215368176,-3.699722994908341,CENTRO
40.39164343238081,-3.717140510927299,CARABANCHEL
40.37690319217392,-3.741639735552097,CARABANCHEL
40.38684744124125,-3.727740326743959,CARABANCHEL
40.39982891410407,-3.621281890570377,VICALVARO
40.37420290010211,-3.7510337449848636,CARABANCHEL
40.37420290010211,-3.7510337449848636,CARABANCHEL
40.40647389284976,-3.7327010920242043,LATINA
40.48891397639459,-3.714174858198665,FUENCARRAL-EL PARDO
40.410560776119,-3.6937931079230744,CENTRO
40.40207279862862,-3.6955325387824014,ARGANZUELA
40.379565707685856,-3.6914252404682903,USERA
40.43200210571468,-3.6709293330780204,SALAMANCA
40.44245748722783,-3.6217095632137375,SAN BLAS-CANILLEJAS
40.46055947228695,-3.5937461811785347,BARAJAS
40.391053041229135,-3.6958079719260075,ARGANZUELA
40.392680212409495,-3.7593572957930554,LATINA
40.42206601994432,-3.662968075865235,SALAMANCA
40.42206601994432,-3.662968075865235,SALAMANCA
40.399764677637116,-3.775144917950534,LATINA
40.4166091081099,-3.6795930368034804,RETIRO
40.41906024374356,-3.6840615387926956,RETIRO
40.476859845869534,-3.6420353342333227,HORTALEZA
40.378853797128336,-3.7819616113032115,LATINA
40.39210151448589,-3.681620654746187,ARGANZUELA
40.392680212409495,-3.7593572957930554,LATINA
40.41789950036311,-3.7309390858931137,MONCLOA-ARAVACA
40.42027705095574,-3.621741078700336,SAN BLAS-CANILLEJAS
40.40647389284976,-3.7327010920242043,LATINA
40.40943503279114,-3.6861797800993257,RETIROUSERA
40.44661949643803,-3.703467785151993,CHAMBERI
40.465101515878985,-3.693764227321566,TETUAN
40.3829835905706,-3.7800890564106613,LATINA
40.407316328180464,-3.747465416906973,LATINA
40.3829835905706,-3.7800890564106613,LATINA
40.407316328180464,-3.747465416906973,LATINA
40.45531140556268,-3.587638001688095,BARAJAS
40.35087114162283,-3.691508909255186,VILLAVERDE
40.39552931214334,-3.7562667464373223,LATINA
40.410560776119,-3.6937931079230744,CENTRO
40.41888994379542,-3.685332498113362,RETIRO
40.36782603611024,-3.6670181171393064,PUENTE DE VALLECAS
40.391053041229135,-3.6958079719260075,ARGANZUELA
40.44810636195716,-3.6762309620097398,CHAMARTINUSERA
40.39241367848808,-3.697259467865366,ARGANZUELA
40.410560776119,-3.6937931079230744,CENTRO
40.392680212409495,-3.7593572957930554,LATINA
40.42802889001877,-3.710182353581842,CENTRO
40.39815439895114,-3.7125359439695975,
40.40977637506597,-3.6893771841228897,RETIRO
40.41906024374356,-3.6840615387926956,RETIRO
40.40609591857167,-3.646536107063507,MORATALAZ
40.39786734087938,-3.720088245008897,CARABANCHEL
40.397020792322316,-3.673881351837232,RETIRO
40.36180966975026,-3.6927748531714824,VILLAVERDE
40.36180966975026,-3.6927748531714824,VILLAVERDE
40.3829835905706,-3.7800890564106613,LATINA
40.38684744124125,-3.727740326743959,CARABANCHEL
40.4789135943213,-3.693540659747283,FUENCARRAL-EL PARDO
40.40596423138839,-3.698601359753866,ARGANZUELA
40.391053041229135,-3.6958079719260075,ARGANZUELA
40.47185296971466,-3.714201462972278,FUENCARRAL-EL PARDO
40.49082275610172,-3.7216054330053647,FUENCARRAL-EL PARDO
40.49082275610172,-3.7216054330053647,FUENCARRAL-EL PARDO
40.49082275610172,-3.7216054330053647,FUENCARRAL-EL PARDO
40.49082275610172,-3.7216054330053647,FUENCARRAL-EL PARDO
40.49082275610172,-3.7216054330053647,FUENCARRAL-EL PARDO
40.47900813206291,-3.709138377702435,FUENCARRAL-EL PARDO
40.47900813206291,-3.709138377702435,FUENCARRAL-EL PARDO
40.47900813206291,-3.709138377702435,FUENCARRAL-EL PARDO
40.47900813206291,-3.709138377702435,FUENCARRAL-EL PARDO
40.47900813206291,-3.709138377702435,FUENCARRAL-EL PARDO
40.47185296971466,-3.714201462972278,FUENCARRAL-EL PARDO
40.47185296971466,-3.714201462972278,FUENCARRAL-EL PARDO
40.47185296971466,-3.714201462972278,FUENCARRAL-EL PARDO
40.495510999757265,-3.6960480794830053,FUENCARRAL-EL PARDO
40.495510999757265,-3.6960480794830053,FUENCARRAL-EL PARDO
40.495510999757265,-3.6960480794830053,FUENCARRAL-EL PARDO
40.495510999757265,-3.6960480794830053,FUENCARRAL-EL PARDO
40.50973426099199,-3.670452271301756,FUENCARRAL-EL PARDO
40.50973426099199,-3.670452271301756,FUENCARRAL-EL PARDO
40.50973426099199,-3.670452271301756,FUENCARRAL-EL PARDO
40.519673311658686,-3.7779055687726535,FUENCARRAL-EL PARDO
40.519673311658686,-3.7779055687726535,FUENCARRAL-EL PARDO
40.519673311658686,-3.7779055687726535,FUENCARRAL-EL PARDO
40.51635495615339,-3.685946562681175,FUENCARRAL-EL PARDO
40.51635495615339,-3.685946562681175,FUENCARRAL-EL PARDO
40.48025613358832,-3.7214686777952974,FUENCARRAL-EL PARDO
40.48025613358832,-3.7214686777952974,FUENCARRAL-EL PARDO
40.48025613358832,-3.7214686777952974,FUENCARRAL-EL PARDO
40.49504564211655,-3.6880070256093758,FUENCARRAL-EL PARDO
40.49504564211655,-3.6880070256093758,FUENCARRAL-EL PARDO
